simNo:int,simPar_EleakVal:decimal,simParPer_gBarP:int,simParPer_gBarK2:int,simParPer_gBarLeak:int,simParPer_gBarSynS:int,simParPer_gBarCaS:int,simParPer_gBarSynG:int,simParPer_gBarh:int,meanPeriod_L:decimal,meanPeriod_R:decimal,spkFreq_L:decimal,spkFreq_R:decimal,meanDutyCycle_L:decimal,meanDutyCycle_R:decimal,meanPhase_L:decimal,meanPhase_R:decimal
3883437,-0.065,175,125,175,100,125,50,175,28.3647,27.2378,22.52757972,22.57442847,0.4821979,0.4710916,0.5579893,0.4641791
3895824,-0.055,100,75,150,25,150,50,175,5.8075,5.5721,30.68284675,30.44093229,0.492415,0.575905,0.5539384,0.4685149
3903917,-0.065,175,125,175,100,150,50,175,29.3799,27.59375,23.59352903,23.56008169,0.4519246,0.4909771,0.5729431,0.4618889
3958212,-0.065,50,75,25,50,25,75,0,25.5264,23.7419,11.41393713,11.55912987,0.4619884,0.4966536,0.5756005,0.4646386
3982352,-0.065,150,150,100,75,50,75,0,31.5823,30.29115,21.56786019,21.48400245,0.4895685,0.4792324,0.5527786,0.4698201
4126357,-0.065,175,150,150,75,25,75,25,27.26675,30.2833,17.9296953,18.23423798,0.6454711,0.4217671,0.3984605,0.5574573
4139701,-0.07,100,100,0,25,50,75,25,22.82995,24.578,53.91366988,55.13784461,0.5764358,0.5985638,0.3962121,0.5734507
4139702,-0.065,100,100,0,25,50,75,25,22.82995,24.578,53.91366988,55.13784461,0.5764358,0.5985638,0.3962121,0.5734507
4139703,-0.06,100,100,0,25,50,75,25,22.82995,24.578,53.91366988,55.13784461,0.5764358,0.5985638,0.3962121,0.5734507
4139704,-0.055,100,100,0,25,50,75,25,22.82995,24.578,53.91366988,55.13784461,0.5764358,0.5985638,0.3962121,0.5734507
4139705,-0.05,100,100,0,25,50,75,25,22.82995,24.578,53.91366988,55.13784461,0.5764358,0.5985638,0.3962121,0.5734507
4145136,-0.07,75,100,25,75,50,75,25,28.467,26.95185,18.89302308,18.33174106,0.4463379,0.4735185,0.5810046,0.4499192
4208509,-0.055,125,100,175,75,125,75,25,20.9277,21.6972,24.15142944,24.00947093,0.5095962,0.5370503,0.4450111,0.5390349
4217547,-0.065,125,150,75,175,125,75,25,28.6134,27.2459,23.83888512,23.24554022,0.4629929,0.4865062,0.5640115,0.4629439
4287228,-0.06,125,100,125,50,25,75,50,24.3032,26.9416,20.67013903,20.636368,0.5052668,0.6336224,0.3549195,0.6065498
4295037,-0.065,175,175,125,125,25,75,50,27.62965,24.6467,19.44261696,20.40655116,0.9670843,0.1538786,0.4841358,0.5681324
